"First names at birth by sex at birth, selected indicators (Number) 1 2 3 4"
"Frequency: Annual"
"Table: 17-10-0147-01"
"Release date: 2024-09-25"
"Geography: Canada"
""
""

"Geography, place of residence of mother","Canada",,,,,
"ISIDORA","..","..","..","7","2,557","0.0050"
"ISIDORE","..","..","..","..","..",".."
"ISIS","..","..","..","..","..",".."
"ISKANDER","..","..","..","..","..",".."
"ISLA","..","..","..","759","13","0.5431"
"ISLAM","7","2,348","0.0046","..","..",".."
"ISLAY","..","..","..","7","2,557","0.0050"
"ISLEY","..","..","..","..","..",".."
"ISMAEEL","6","2,614","0.0040","..","..",".."
"ISMAEL","72","407","0.0477","..","..",".."
"ISMAIL","50","547","0.0331","..","..",".."
"ISOBEL","..","..","..","29","889","0.0207"
"ISOBELLA","..","..","..","..","..",".."
"ISOLDE","..","..","..","..","..",".."
"ISRA","..","..","..","58","495","0.0415"
"ISRAA","..","..","..","11","1,860","0.0079"
"ISRAE","..","..","..","..","..",".."
"ISRAEL","43","619","0.0285","5","3,197","0.0036"
"ISSA","45","595","0.0298","..","..",".."
"ISSABELLA","..","..","..","..","..",".."
"ISSABELLE","..","..","..","..","..",".."
"ISSAC","24","982","0.0159","..","..",".."
"ISSAM","..","..","..","..","..",".."
"ISSIAH","..","..","..","..","..",".."
"ISTVAN","..","..","..","..","..",".."
"ITALIA","..","..","..","..","..",".."
"ITHIEL","..","..","..","..","..",".."
"ITZEL","..","..","..","..","..",".."
"IULIA","..","..","..","..","..",".."
"IVA","..","..","..","10","1,992","0.0072"
"IVAAN","112","283","0.0741","..","..",".."
"IVAN","101","308","0.0669","..","..",".."
"IVANA","..","..","..","22","1,092","0.0157"
"IVANIE","..","..","..","..","..",".."
"IVANKA","..","..","..","8","2,326","0.0057"
"IVANNA","..","..","..","20","1,190","0.0143"
"IVANO","..","..","..","..","..",".."
"IVAR","11","1,696","0.0073","..","..",".."
"IVER","19","1,158","0.0126","..","..",".."
"IVERSON","9","1,963","0.0060","..","..",".."
"IVEY","..","..","..","14","1,551","0.0100"
"IVIE","..","..","..","11","1,860","0.0079"
"IVONA","..","..","..","..","..",".."
"IVOR","6","2,614","0.0040","..","..",".."
"IVORY","..","..","..","24","1,025","0.0172"
"IVY","..","..","..","533","33","0.3814"
"IVY-ROSE","..","..","..","..","..",".."
"IYA","..","..","..","..","..",".."
"IYAD","24","982","0.0159","..","..",".."
"IYAN","..","..","..","..","..",".."
"IYANA","..","..","..","..","..",".."
"IYANNA","..","..","..","5","3,197","0.0036"
"IYAS","..","..","..","..","..",".."
"IYED","9","1,963","0.0060","..","..",".."
"IYLA","..","..","..","55","520","0.0394"
"IYLAH","..","..","..","..","..",".."
"IYRA","..","..","..","9","2,160","0.0064"
"IZA","..","..","..","9","2,160","0.0064"
"IZAAC","..","..","..","..","..",".."
"IZAAK","12","1,605","0.0079","..","..",".."
"IZAAN","10","1,815","0.0066","..","..",".."
"IZABEL","..","..","..","6","2,824","0.0043"
"IZABELA","..","..","..","..","..",".."
"IZABELLA","..","..","..","38","720","0.0272"
"IZABELLE","..","..","..","13","1,645","0.0093"
"IZAC","..","..","..","..","..",".."
"IZACK","..","..","..","..","..",".."
"IZAHAAK","..","..","..","..","..",".."
"IZAIAH","28","860","0.0185","..","..",".."
"IZAK","9","1,963","0.0060","..","..",".."
"IZAYA","7","2,348","0.0046","..","..",".."
"IZAYAH","7","2,348","0.0046","..","..",".."
"IZEL","..","..","..","..","..",".."
"IZHAAN","35","725","0.0232","..","..",".."
"IZIAH","..","..","..","..","..",".."
"IZIK","..","..","..","..","..",".."
"IZMA","..","..","..","..","..",".."
"IZNA","..","..","..","..","..",".."
"IZYAN","8","2,136","0.0053","..","..",".."
"IZZA","..","..","..","6","2,824","0.0043"
"IZZABELLA","..","..","..","..","..",".."
"IZZABELLE","..","..","..","..","..",".."
"IZZAH","..","..","..","17","1,348","0.0122"
"IZZY","..","..","..","9","2,160","0.0064"
"JAAFAR","..","..","..","..","..",".."
"JAAN","..","..","..","..","..",".."
"JAANVI","..","..","..","5","3,197","0.0036"
"JAAP","7","2,348","0.0046","11","1,860","0.0079"
"JABARI","..","..","..","..","..",".."
"JABEZ","..","..","..","..","..",".."
"JABIR","7","2,348","0.0046","..","..",".."
"JABRIL","..","..","..","..","..",".."
"JACALYN","..","..","..","..","..",".."
"JACCOB","..","..","..","..","..",".."
"JACE","228","135","0.1509","..","..",".."
"JACEK","..","..","..","..","..",".."
"JACELYN","..","..","..","..","..",".."
"JACEN","..","..","..","..","..",".."
"JACEY","..","..","..","12","1,739","0.0086"
"JACHIN","..","..","..","..","..",".."
"JACI","..","..","..","..","..",".."
"JACIE","..","..","..","..","..",".."
"JACINDA","..","..","..","..","..",".."
"JACINTA","..","..","..","..","..",".."
"JACINTHE","..","..","..","..","..",".."
"JACK","1,132","10","0.7494","..","..",".."
"JACKELYN","..","..","..","..","..",".."
"JACKIE","..","..","..","11","1,860","0.0079"
"JACKLYN","..","..","..","7","2,557","0.0050"
"JACKLYNN","..","..","..","..","..",".."
"JACKOB","..","..","..","..","..",".."
"JACKS","..","..","..","..","..",".."
"JACKSEN","..","..","..","..","..",".."
"JACKSON","767","22","0.5078","..","..",".."
"JACKY","..","..","..","..","..",".."
"JACLYN","..","..","..","7","2,557","0.0050"
"JACLYNN","..","..","..","..","..",".."
"JACOB","1,086","12","0.7189","..","..",".."
"JACOBA","..","..","..","..","..",".."
"JACOBI","..","..","..","..","..",".."
"JACOBO","..","..","..","..","..",".."
"JACOBUS","..","..","..","..","..",".."
"JACOBY","..","..","..","..","..",".."
"JACQUELIN","..","..","..","..","..",".."
"JACQUELINE","..","..","..","31","849","0.0222"
"JACQUELYN","..","..","..","..","..",".."
"JACQUELYNN","..","..","..","..","..",".."
"JACQUES","17","1,244","0.0113","..","..",".."
"JACY","..","..","..","..","..",".."
"JACYNTHE","..","..","..","..","..",".."
"JAD","78","376","0.0516","..","..",".."
"JADA","..","..","..","14","1,551","0.0100"
"JADAH","..","..","..","..","..",".."
"JADAN","..","..","..","..","..",".."
"JADE","6","2,614","0.0040","355","66","0.2540"
"JADELIE","..","..","..","..","..",".."
"JADELYN","..","..","..","..","..",".."
"JADEN","86","352","0.0569","5","3,197","0.0036"
"JADEYN","..","..","..","..","..",".."
"JADIEL","..","..","..","..","..",".."
"JADIN","..","..","..","..","..",".."
"JADON","13","1,505","0.0086","..","..",".."
"JADYN","..","..","..","..","..",".."
"JADZIA","..","..","..","..","..",".."
"JAE","..","..","..","..","..",".."
"JAEDA","..","..","..","..","..",".."
"JAEDAN","..","..","..","..","..",".."
"JAEDEN","6","2,614","0.0040","..","..",".."
"JAEDON","..","..","..","..","..",".."
"JAEDYN","..","..","..","..","..",".."
"JAEGER","..","..","..","..","..",".."
"JAEL","..","..","..","6","2,824","0.0043"
"JAELA","..","..","..","..","..",".."
"JAELAH","..","..","..","..","..",".."
"JAELEN","..","..","..","..","..",".."
"JAELLE","..","..","..","8","2,326","0.0057"
"JAELYN","..","..","..","12","1,739","0.0086"
"JAELYNN","..","..","..","13","1,645","0.0093"
"JAENA","..","..","..","..","..",".."
"JAFAR","..","..","..","..","..",".."
"JAGDEEP","..","..","..","..","..",".."
"JAGER","..","..","..","..","..",".."
"JAGGER","23","1,019","0.0152","..","..",".."
"JAGJIT","..","..","..","..","..",".."
"JAGJOT","..","..","..","..","..",".."
"JAGMEET","..","..","..","..","..",".."
"JAGRAJ","..","..","..","..","..",".."
"JAGROOP","..","..","..","..","..",".."
"JAGVEER","..","..","..","..","..",".."
"JAGVIR","..","..","..","..","..",".."
"JAHAAN","13","1,505","0.0086","..","..",".."
"JAHAN","7","2,348","0.0046","..","..",".."
"JAHEEM","..","..","..","..","..",".."
"JAHEIM","..","..","..","..","..",".."
"JAHIEM","..","..","..","..","..",".."
"JAHLANI","..","..","..","..","..",".."
"JAHLEEL","..","..","..","..","..",".."
"JAHMAI","..","..","..","..","..",".."
"JAHMAL","..","..","..","..","..",".."
"JAHMAR","..","..","..","..","..",".."
"JAHMARI","..","..","..","..","..",".."
"JAHNAVI","..","..","..","..","..",".."
"JAHNAYA","..","..","..","..","..",".."
"JAHSEH","..","..","..","..","..",".."
"JAHSIAH","..","..","..","..","..",".."
"JAHVON","..","..","..","..","..",".."
"JAHZARA","..","..","..","5","3,197","0.0036"
"JAHZIAH","..","..","..","..","..",".."
"JAI","29","837","0.0192","6","2,824","0.0043"
"JAIA","..","..","..","..","..",".."
"JAIBIR","9","1,963","0.0060","..","..",".."
"JAIDA","..","..","..","..","..",".."
"JAIDAH","..","..","..","..","..",".."
"JAIDAN","..","..","..","..","..",".."
"JAIDE","..","..","..","..","..",".."
"JAIDEEP","..","..","..","..","..",".."
"JAIDEN","30","820","0.0199","..","..",".."
"JAIDON","..","..","..","..","..",".."
"JAIDYN","..","..","..","..","..",".."
"JAILA","..","..","..","..","..",".."
"JAILYN","..","..","..","..","..",".."
"JAILYNN","..","..","..","..","..",".."
"JAIME","16","1,299","0.0106","9","2,160","0.0064"
"JAIMEE","..","..","..","..","..",".."
"JAIMIE","..","..","..","..","..",".."
"JAINA","..","..","..","8","2,326","0.0057"
"JAIRO","6","2,614","0.0040","..","..",".."
"JAIRUS","13","1,505","0.0086","..","..",".."
"JAISON","..","..","..","..","..",".."
"JAIVEER","22","1,048","0.0146","..","..",".."
"JAIVEN","..","..","..","..","..",".."
"JAIVIN","23","1,019","0.0152","..","..",".."
"JAIVIR","6","2,614","0.0040","..","..",".."
"JAIYA","..","..","..","..","..",".."
"JAK","..","..","..","..","..",".."
"JAKE","290","104","0.1920","..","..",".."
"JAKEB","..","..","..","..","..",".."
"JAKOB","70","416","0.0463","..","..",".."
"JAKOBE","..","..","..","..","..",".."
"JAKOBI","..","..","..","..","..",".."
"JAKOBY","..","..","..","..","..",".."
"JAKSON","..","..","..","..","..",".."
"JAKUB","7","2,348","0.0046","..","..",".."
"JALAL","10","1,815","0.0066","..","..",".."
"JALEEL","..","..","..","..","..",".."
"JALEESA","..","..","..","..","..",".."
"JALEN","32","778","0.0212","..","..",".."
"JALENE","..","..","..","..","..",".."
"JALIL","..","..","..","..","..",".."
"JALISA","..","..","..","..","..",".."
"JALISSA","..","..","..","..","..",".."
"JALIYAH","..","..","..","10","1,992","0.0072"
"JALYN","..","..","..","..","..",".."
"JALYNN","..","..","..","..","..",".."
"JAMA","..","..","..","..","..",".."
"JAMAAL","..","..","..","..","..",".."
"JAMAL","25","947","0.0166","..","..",".."
"JAMALL","..","..","..","..","..",".."
"JAMAR","..","..","..","..","..",".."
"JAMARI","..","..","..","..","..",".."
"JAMARIO","..","..","..","..","..",".."
"JAMEE","..","..","..","..","..",".."
"JAMEEL","7","2,348","0.0046","..","..",".."
"JAMEELA","..","..","..","..","..",".."
"JAMEL","..","..","..","..","..",".."
"JAMES","1,122","11","0.7428","6","2,824","0.0043"
"JAMESON","129","245","0.0854","..","..",".."
"JAMEY","..","..","..","..","..",".."
"JAMI","..","..","..","..","..",".."
"JAMIE","112","283","0.0741","40","683","0.0286"
"JAMIE-LEE","..","..","..","..","..",".."
"JAMIE-LEIGH","..","..","..","..","..",".."
"JAMIE-LYNN","..","..","..","..","..",".."
"JAMIESON","8","2,136","0.0053","..","..",".."
"JAMIL","10","1,815","0.0066","..","..",".."
"JAMILA","..","..","..","7","2,557","0.0050"
"JAMIN","..","..","..","..","..",".."
"JAMISON","11","1,696","0.0073","..","..",".."
"JAMY","..","..","..","..","..",".."
"JAN","11","1,696","0.0073","..","..",".."
"JANA","..","..","..","88","330","0.0630"
"JANAE","..","..","..","5","3,197","0.0036"
"JANAI","..","..","..","..","..",".."
"JANAN","..","..","..","..","..",".."
"JANANI","..","..","..","..","..",".."
"JANAT","..","..","..","..","..",".."
"JANAY","..","..","..","..","..",".."
"JANAYA","..","..","..","16","1,398","0.0114"
"JANAYAH","..","..","..","..","..",".."
"JANAYE","..","..","..","..","..",".."
"JANE","..","..","..","104","285","0.0744"
"JANEEN","..","..","..","..","..",".."
"JANEL","..","..","..","..","..",".."
"JANELL","..","..","..","..","..",".."
"JANELLA","..","..","..","6","2,824","0.0043"
"JANELLE","..","..","..","38","720","0.0272"
"JANESSA","..","..","..","14","1,551","0.0100"
"JANET","..","..","..","7","2,557","0.0050"
"JANETTE","..","..","..","..","..",".."
"JANEY","..","..","..","..","..",".."
"JANI","..","..","..","..","..",".."
"JANIAH","..","..","..","..","..",".."
"JANIC","..","..","..","..","..",".."
"JANICA","..","..","..","..","..",".."
"JANICE","..","..","..","15","1,473","0.0107"
"JANICK","..","..","..","..","..",".."
"JANIE","..","..","..","9","2,160","0.0064"
"JANIK","..","..","..","..","..",".."
"JANIKA","..","..","..","..","..",".."
"JANINA","..","..","..","9","2,160","0.0064"
"JANINE","..","..","..","..","..",".."
"JANIQUE","..","..","..","..","..",".."
"JANIS","..","..","..","..","..",".."
"JANITA","..","..","..","..","..",".."
"JANIYA","..","..","..","..","..",".."
"JANIYAH","..","..","..","10","1,992","0.0072"
"JANNA","..","..","..","15","1,473","0.0107"
"JANNAH","..","..","..","27","944","0.0193"
"JANNAT","..","..","..","43","652","0.0308"
"JANNATE","..","..","..","..","..",".."
"JANNE","..","..","..","..","..",".."
"JANNELLE","..","..","..","..","..",".."
"JANNICK","..","..","..","..","..",".."
"JANNIE","..","..","..","..","..",".."
"JANNIK","..","..","..","..","..",".."
"JANNY","..","..","..","..","..",".."
"JANSEN","..","..","..","..","..",".."
"JANUSHAN","..","..","..","..","..",".."
"JANVI","..","..","..","5","3,197","0.0036"
"JANY","..","..","..","..","..",".."
"JAPGUN","..","..","..","..","..",".."
"JAPHETH","..","..","..","..","..",".."
"JAPJEET","..","..","..","..","..",".."
"JAPJI","..","..","..","56","507","0.0401"
"JAPJIT","..","..","..","..","..",".."
"JAPJOT","6","2,614","0.0040","..","..",".."
"JAPLEEN","..","..","..","9","2,160","0.0064"
"JAPMAN","6","2,614","0.0040","..","..",".."
"JAPNAAZ","..","..","..","17","1,348","0.0122"
"JAPNEET","..","..","..","16","1,398","0.0114"
"JAPNOOR","..","..","..","18","1,292","0.0129"
"JAPREET","..","..","..","..","..",".."
"JAQUELINE","..","..","..","..","..",".."
"JARAD","..","..","..","..","..",".."
"JARED","46","583","0.0305","..","..",".."
"JAREK","..","..","..","..","..",".."
"JARELL","..","..","..","..","..",".."
"JAREN","..","..","..","..","..",".."
"JARET","..","..","..","..","..",".."
"JARETH","..","..","..","..","..",".."
"JARETT","..","..","..","..","..",".."
"JARI","..","..","..","..","..",".."
"JARID","..","..","..","..","..",".."
"JARIUS","..","..","..","..","..",".."
"JAROD","..","..","..","..","..",".."
"JAROM","..","..","..","..","..",".."
"JAROME","..","..","..","..","..",".."
"JAROMIR","..","..","..","..","..",".."
"JARON","..","..","..","..","..",".."
"JARRED","..","..","..","..","..",".."
"JARREN","..","..","..","..","..",".."
"JARRET","..","..","..","..","..",".."
"JARRETT","7","2,348","0.0046","..","..",".."
"JARRID","..","..","..","..","..",".."
"JARROD","..","..","..","..","..",".."
"JARRYD","..","..","..","..","..",".."
"JARVIS","14","1,430","0.0093","..","..",".."
"JARYD","..","..","..","..","..",".."
"JASDEEP","..","..","..","..","..",".."
"JASDIP","..","..","..","..","..",".."
"JASE","17","1,244","0.0113","..","..",".."
"JASEN","..","..","..","..","..",".."
"JASHAN","5","2,931","0.0033","..","..",".."
"JASHANDEEP","..","..","..","..","..",".."
"JASHANPREET","..","..","..","..","..",".."
"JASHUA","..","..","..","..","..",".."
"JASIAH","9","1,963","0.0060","..","..",".."
"JASIM","..","..","..","..","..",".."
"JASJEET","..","..","..","..","..",".."
"JASJIT","..","..","..","..","..",".."
"JASJOT","..","..","..","..","..",".."
"JASKARAN","..","..","..","..","..",".."
"JASKARN","..","..","..","..","..",".."
"JASKIRAN","..","..","..","..","..",".."
"JASKIRAT","7","2,348","0.0046","..","..",".."
"JASLEEN","..","..","..","10","1,992","0.0072"
"JASLENE","..","..","..","..","..",".."
"JASLYN","..","..","..","..","..",".."
"JASLYNN","..","..","..","..","..",".."
"JASMAN","5","2,931","0.0033","..","..",".."
"JASMEEN","..","..","..","..","..",".."
"JASMEET","..","..","..","..","..",".."
"JASMEHAR","..","..","..","..","..",".."
"JASMIN","26","911","0.0172","12","1,739","0.0086"
"JASMINA","..","..","..","..","..",".."
"JASMINE","..","..","..","297","81","0.2125"
"JASMYN","..","..","..","..","..",".."
"JASMYNE","..","..","..","..","..",".."
"JASNEET","..","..","..","5","3,197","0.0036"
"JASNOOR","..","..","..","8","2,326","0.0057"
"JASON","210","147","0.1390","..","..",".."
"JASPAL","..","..","..","..","..",".."
"JASPAUL","..","..","..","..","..",".."
"JASPER","371","72","0.2456","11","1,860","0.0079"
"JASPREET","..","..","..","..","..",".."
"JASRAJ","8","2,136","0.0053","..","..",".."
"JASREEN","..","..","..","6","2,824","0.0043"
"JASREET","..","..","..","6","2,824","0.0043"
"JASSEN","..","..","..","..","..",".."
"JASSIM","..","..","..","..","..",".."
"JASSON","..","..","..","..","..",".."
"JASTEJ","..","..","..","..","..",".."
"JASVEEN","..","..","..","..","..",".."
"JASWINDER","..","..","..","..","..",".."
"JATIN","..","..","..","..","..",".."
"JATINDER","..","..","..","..","..",".."
"JAVAN","..","..","..","..","..",".."
"JAVED","..","..","..","..","..",".."
"JAVEN","..","..","..","..","..",".."
"JAVERIA","..","..","..","..","..",".."
"JAVID","..","..","..","..","..",".."
"JAVIER","28","860","0.0185","..","..",".."
"JAVIERA","..","..","..","..","..",".."
"JAVIN","..","..","..","..","..",".."
"JAVON","..","..","..","..","..",".."
"JAWAD","24","982","0.0159","..","..",".."
"JAX","144","224","0.0953","..","..",".."
"JAXEN","10","1,815","0.0066","..","..",".."
"JAXIN","..","..","..","..","..",".."
"JAXON","310","94","0.2052","..","..",".."
"JAXSEN","5","2,931","0.0033","..","..",".."
"JAXSON","189","171","0.1251","..","..",".."
"JAXSTON","..","..","..","..","..",".."
"JAXSYN","..","..","..","..","..",".."
"JAXTON","23","1,019","0.0152","..","..",".."
"JAXTYN","12","1,605","0.0079","..","..",".."
"JAXX","36","711","0.0238","..","..",".."
"JAXXEN","6","2,614","0.0040","..","..",".."
"JAXXON","17","1,244","0.0113","..","..",".."
"JAXXSON","..","..","..","..","..",".."
"JAXYN","..","..","..","..","..",".."
"JAY","88","338","0.0583","..","..",".."
"JAYA","..","..","..","16","1,398","0.0114"
"JAYAH","..","..","..","..","..",".."
"JAYAN","5","2,931","0.0033","..","..",".."
"JAYANNA","..","..","..","..","..",".."
"JAYCE","182","181","0.1205","..","..",".."
"JAYCEE","..","..","..","9","2,160","0.0064"
"JAYCEN","..","..","..","..","..",".."
"JAYCEON","..","..","..","..","..",".."
"JAYCIE","..","..","..","5","3,197","0.0036"
"JAYCOB","9","1,963","0.0060","..","..",".."
"JAYD","..","..","..","..","..",".."
"JAYDA","..","..","..","20","1,190","0.0143"
"JAYDAH","..","..","..","..","..",".."
"JAYDA-LYNN","..","..","..","..","..",".."
"JAYDAN","5","2,931","0.0033","..","..",".."
"JAYDE","..","..","..","12","1,739","0.0086"
"JAYDEE","..","..","..","..","..",".."
"JAYDEEP","..","..","..","..","..",".."
"JAYDEN","531","39","0.3515","8","2,326","0.0057"
"JAYDIN","..","..","..","..","..",".."
"JAYDN","..","..","..","..","..",".."
"JAYDON","8","2,136","0.0053","..","..",".."
"JAYDYN","..","..","..","..","..",".."
"JAYE","..","..","..","..","..",".."
"JAYEN","..","..","..","..","..",".."
"JAYK","..","..","..","..","..",".."
"JAYKE","25","947","0.0166","..","..",".."
"JAYKOB","..","..","..","..","..",".."
"JAYLA","..","..","..","46","607","0.0329"
"JAYLAH","..","..","..","5","3,197","0.0036"
"JAYLAN","5","2,931","0.0033","..","..",".."
"JAYLEE","..","..","..","15","1,473","0.0107"
"JAYLEEN","..","..","..","5","3,197","0.0036"
"JAYLEIGH","..","..","..","..","..",".."
"JAYLEN","67","428","0.0444","..","..",".."
"JAYLENE","..","..","..","..","..",".."
"JAYLIE","..","..","..","..","..",".."
"JAYLIN","..","..","..","..","..",".."
"JAYLON","..","..","..","..","..",".."
"JAYLYN","..","..","..","6","2,824","0.0043"
"JAYLYNN","..","..","..","6","2,824","0.0043"
"JAY-LYNN","..","..","..","..","..",".."
"JAYME","..","..","..","..","..",".."
"JAYMEE","..","..","..","..","..",".."
"JAYMES","..","..","..","..","..",".."
"JAYMI","..","..","..","..","..",".."
"JAYMIE","7","2,348","0.0046","..","..",".."
"JAYMIN","..","..","..","..","..",".."
"JAYMZ","..","..","..","..","..",".."
"JAYNA","..","..","..","8","2,326","0.0057"
"JAYNE","..","..","..","9","2,160","0.0064"
"JAYRON","..","..","..","..","..",".."
"JAYSA","..","..","..","..","..",".."
"JAYSE","..","..","..","..","..",".."
"JAYSEN","6","2,614","0.0040","..","..",".."
"JAYSON","35","725","0.0232","..","..",".."
"JAYSSON","..","..","..","..","..",".."
"JAYTON","..","..","..","..","..",".."
"JAYVEER","7","2,348","0.0046","..","..",".."
"JAYVEN","5","2,931","0.0033","..","..",".."
"JAYVIN","..","..","..","..","..",".."
"JAYVION","..","..","..","..","..",".."
"JAYVON","7","2,348","0.0046","..","..",".."
"JAZELLE","..","..","..","..","..",".."
"JAZIAH","..","..","..","..","..",".."
"JAZIB","..","..","..","..","..",".."
"JAZIEL","8","2,136","0.0053","..","..",".."
"JAZLEEN","..","..","..","..","..",".."
"JAZLENE","..","..","..","..","..",".."
"JAZLYN","..","..","..","9","2,160","0.0064"
"JAZLYNN","..","..","..","..","..",".."
"JAZMIN","..","..","..","10","1,992","0.0072"
"JAZMINE","..","..","..","15","1,473","0.0107"
"JAZMYN","..","..","..","5","3,197","0.0036"
"JAZMYNE","..","..","..","..","..",".."
"JAZZ","..","..","..","..","..",".."
"JAZZLYN","..","..","..","..","..",".."
"JAZZLYNN","..","..","..","..","..",".."
"JAZZMIN","..","..","..","..","..",".."
"JAZZMINE","..","..","..","..","..",".."
"JAZZMYN","..","..","..","..","..",".."
"JEAN","23","1,019","0.0152","9","2,160","0.0064"
"JEANA","..","..","..","..","..",".."
"JEAN-BAPTISTE","..","..","..","..","..",".."
"JEAN-BENOIT","..","..","..","..","..",".."
"JEAN-CHARLES","..","..","..","..","..",".."
"JEAN-CHRISTOPHE","..","..","..","..","..",".."
"JEAN-CLAUDE","..","..","..","..","..",".."
"JEAN-DANIEL","..","..","..","..","..",".."
"JEAN-DAVID","..","..","..","..","..",".."
"JEAN-DENIS","..","..","..","..","..",".."
"JEANELLE","..","..","..","..","..",".."
"JEANETTE","..","..","..","..","..",".."
"JEAN-FELIX","..","..","..","..","..",".."
"JEAN-FRANCOIS","..","..","..","..","..",".."
"JEAN-GABRIEL","..","..","..","..","..",".."
"JEAN-GUY","..","..","..","..","..",".."
"JEANIE","..","..","..","..","..",".."
"JEANINE","..","..","..","..","..",".."
"JEAN-JACQUES","..","..","..","..","..",".."
"JEAN-LUC","..","..","..","..","..",".."
"JEAN-MARC","..","..","..","..","..",".."
"JEAN-MARIE","..","..","..","..","..",".."
"JEAN-MATHIEU","..","..","..","..","..",".."
"JEAN-MAXIME","..","..","..","..","..",".."
"JEAN-MICHEL","..","..","..","..","..",".."
"JEANNA","..","..","..","..","..",".."
"JEANNE","..","..","..","163","156","0.1166"
"JEANNETTE","..","..","..","..","..",".."
"JEAN-NICOLAS","..","..","..","..","..",".."
"JEANNIE","..","..","..","6","2,824","0.0043"
"JEANNINE","..","..","..","..","..",".."
"JEAN-PASCAL","..","..","..","..","..",".."
"JEAN-PAUL","..","..","..","..","..",".."
"JEAN-PHILIP","..","..","..","..","..",".."
"JEAN-PHILIPPE","..","..","..","..","..",".."
"JEAN-PIERRE","..","..","..","..","..",".."
"JEAN-RAPHAEL","..","..","..","..","..",".."
"JEAN-RENE","..","..","..","..","..",".."
"JEAN-ROBERT","..","..","..","..","..",".."
"JEAN-SAMUEL","..","..","..","..","..",".."
"JEAN-SEBASTIEN","..","..","..","..","..",".."
"JEAN-SIMON","..","..","..","..","..",".."
"JEAN-THOMAS","..","..","..","..","..",".."
"JEAN-WILLIAM","..","..","..","..","..",".."
"JEAN-YVES","..","..","..","..","..",".."
"JEASON","..","..","..","..","..",".."
"JED","13","1,505","0.0086","..","..",".."
"JEDD","..","..","..","..","..",".."
"JEDEDIAH","..","..","..","..","..",".."
"JEDIAH","..","..","..","..","..",".."
"JEDIDIAH","17","1,244","0.0113","..","..",".."
"JEDREK","..","..","..","..","..",".."
"JEDSON","..","..","..","..","..",".."
"JEENA","..","..","..","..","..",".."
"JEET","..","..","..","..","..",".."
"JEEVAN","13","1,505","0.0086","5","3,197","0.0036"
"JEEYA","..","..","..","..","..",".."
"JEFF","7","2,348","0.0046","..","..",".."
"JEFFEREY","..","..","..","..","..",".."
"JEFFERSON","6","2,614","0.0040","..","..",".."
"JEFFERY","6","2,614","0.0040","..","..",".."
"JEFFRAJ","..","..","..","..","..",".."
"JEFFREY","30","820","0.0199","..","..",".."
"JEFFRY","..","..","..","..","..",".."
"JELANI","9","1,963","0.0060","..","..",".."
"JELENA","..","..","..","..","..",".."
"JELISA","..","..","..","..","..",".."
"JELISSA","..","..","..","..","..",".."
"JEMA","..","..","..","..","..",".."
"JEMIMA","..","..","..","9","2,160","0.0064"
"JEMIMAH","..","..","..","..","..",".."
"JEMMA","..","..","..","32","830","0.0229"
"JENA","..","..","..","9","2,160","0.0064"
"JENAE","..","..","..","..","..",".."
"JENAH","..","..","..","..","..",".."
"JENAI","..","..","..","..","..",".."
"JENAIAH","..","..","..","..","..",".."
"JENALEE","..","..","..","..","..",".."
"JENAN","..","..","..","..","..",".."
"JENAVIEVE","..","..","..","..","..",".."
"JENAYA","..","..","..","..","..",".."
"JENELL","..","..","..","..","..",".."
"JENELLE","..","..","..","..","..",".."
"JENESIS","..","..","..","7","2,557","0.0050"
"JENESSA","..","..","..","..","..",".."
"JENEVIEVE","..","..","..","..","..",".."
"JENICA","..","..","..","..","..",".."
"JENIFER","..","..","..","..","..",".."
"JENIFFER","..","..","..","..","..",".."
"JENIKA","..","..","..","..","..",".."
"JENIL","..","..","..","..","..",".."
"JENIN","..","..","..","..","..",".."
"JENINE","..","..","..","..","..",".."
"JENISE","..","..","..","..","..",".."
"JENISHA","..","..","..","..","..",".."
"JENNA","..","..","..","54","528","0.0386"
"JENNAFER","..","..","..","..","..",".."
"JENNAH","..","..","..","9","2,160","0.0064"
"JENNALEE","..","..","..","..","..",".."
"JENNA-LEE","..","..","..","..","..",".."
"JENNAYA","..","..","..","..","..",".."
"JENNEFER","..","..","..","..","..",".."
"JENNELLE","..","..","..","..","..",".."
"JENNESSA","..","..","..","..","..",".."
"JENNI","..","..","..","..","..",".."
"JENNICA","..","..","..","..","..",".."
"JENNIE","..","..","..","10","1,992","0.0072"
"JENNIFER","..","..","..","33","811","0.0236"
"JENNIKA","..","..","..","..","..",".."
"JENNINE","..","..","..","..","..",".."
"JENNY","..","..","..","30","865","0.0215"
"JENNYFER","..","..","..","..","..",".."
"JENNY-LEE","..","..","..","..","..",".."
"JENNY-LYNN","..","..","..","..","..",".."
"JENS","..","..","..","..","..",".."
"JENSEN","58","486","0.0384","..","..",".."
"JENSON","7","2,348","0.0046","..","..",".."
"JERAD","..","..","..","..","..",".."
"JERALD","..","..","..","..","..",".."
"JERAMIAH","..","..","..","..","..",".."
"JERAMY","..","..","..","..","..",".."
"JERED","..","..","..","..","..",".."
"JEREMEY","..","..","..","..","..",".."
"JEREMI","5","2,931","0.0033","..","..",".."
"JEREMIAH","157","207","0.1039","..","..",".."
"JEREMIAS","..","..","..","..","..",".."
"JEREMIE","13","1,505","0.0086","..","..",".."
"JEREMIH","..","..","..","..","..",".."
